,method,fct_mean,fct_std,location,forecast_date,target_end_date,target,FIPS,cases,q_0.025,q_0.1,q_0.25,q_0.5,q_0.75,q_0.9,q_0.975,wis
2663458,AR_spatial,779.4557602306592,120.1369956709123,12,2020-12-28,2021-01-02,1-step_ahead,12113,1110.0,543.9915755048266,625.4940053487768,698.4245880312777,779.4557602306592,860.4869324300404,933.4175151125417,1014.9199449564917,219.8653924851301
2663459,AR_spatial,836.8028459671605,110.89898543418636,12,2020-12-21,2021-01-02,2-step_ahead,12113,1110.0,619.4448285941231,694.6800775666711,762.0026169846573,836.8028459671605,911.6030749496637,978.9256143676497,1054.1608633401977,171.02902668540287
2663460,AR_spatial,768.7314714666625,111.04755606833788,12,2020-12-14,2021-01-02,3-step_ahead,12113,1110.0,551.0822610015279,626.4183021373823,693.8310331142437,768.7314714666625,843.6319098190811,911.0446407959427,986.3806819317972,238.96352722433429
2663461,AR_spatial,589.1711894315071,66.86218472793529,12,2020-12-07,2021-01-02,4-step_ahead,12113,1110.0,458.12371543708986,503.48385191768926,544.0733311567977,589.1711894315071,634.2690477062164,674.8585269453248,720.2186634259242,459.23055358474863
2663462,AR,879.7747635212929,58.26815817453552,12,2020-12-28,2021-01-02,1-step_ahead,12113,1110.0,765.5712720537201,805.1011141913167,840.4734880697647,879.7747635212929,919.0760389728212,954.4484128512693,993.9782549888656,176.54441531186728
2663463,AR,771.1790702147304,60.87455554333285,12,2020-12-21,2021-01-02,2-step_ahead,12113,1110.0,651.8671337749148,693.1651882563405,730.1198064530103,771.1790702147304,812.2383339764505,849.1929521731203,890.4910066545458,282.7389077665849
2663464,AR,685.4166422481328,63.8120284549909,12,2020-12-14,2021-01-02,3-step_ahead,12113,1110.0,560.3473646959055,603.6382372810626,642.3760831160207,685.4166422481328,728.4572013802449,767.195047215203,810.4859198003601,365.7951242620592
2663465,AR,473.06940008515403,22.526313064974328,12,2020-12-07,2021-01-02,4-step_ahead,12113,1110.0,428.9186377733303,444.20076831078836,457.87563281312083,473.06940008515403,488.26316735718734,501.93803185951964,517.2201623969778,616.177738985777
2663466,ARIMA,930.0354220515527,501.0103040454212,12,2020-12-14,2021-01-02,3-step_ahead,12113,1110.0,0.0,287.9648825481669,592.1091072302936,930.0354220515527,1267.9617368728118,1572.1059615549384,1911.9975738640405,124.3312838948947
2663467,ARIMA,972.2340780933282,281.9421362325864,12,2020-12-21,2021-01-02,2-step_ahead,12113,1110.0,419.63764535317335,610.9106920114683,782.0669970560614,972.2340780933282,1162.401159130595,1333.5574641751882,1524.830510833483,75.38885723581402
2663468,ARIMA,821.8697334476093,135.10174713172657,12,2020-12-28,2021-01-02,1-step_ahead,12113,1110.0,557.0751748209877,648.7298779031344,730.7449897736767,821.8697334476093,912.9944771215418,995.0095889920842,1086.6642920742308,163.66481313300878
2663469,ARIMA,604.4259280060812,686.4136464992288,12,2020-12-07,2021-01-02,4-step_ahead,12113,1110.0,0.0,0.0,141.44695904763492,604.4259280060812,1067.4048969645276,1484.1004112883456,1949.7719536413776,206.86456099472116
2663470,PatchSim_adpt,1258.0,169.1709183673471,12,2020-12-21,2021-01-02,2-step_ahead,12113,1110.0,926.4310927684345,1041.1987447217086,1143.8959495299664,1258.0,1372.1040504700336,1474.8012552782916,1589.5689072315658,64.25333462349137
2663471,PatchSim_adpt,1406.0,286.4285714285715,12,2020-12-14,2021-01-02,3-step_ahead,12113,1110.0,844.6103158567415,1038.9270158690108,1212.8068644081222,1406.0,1599.1931355918778,1773.0729841309894,1967.3896841432584,128.25357521069193
2663472,PatchSim_adpt,850.0,201.60714285714286,12,2020-12-07,2021-01-02,4-step_ahead,12113,1110.0,454.8572609739783,591.6300504464548,714.0180485765401,850.0,985.9819514234599,1108.3699495535452,1245.1427390260217,112.87720045620995
2663473,ENKF,468.92096542368745,7.3778445820981196,12,2020-12-07,2021-01-02,4-step_ahead,12113,1110.0,454.4606557592412,459.4658771491549,463.94468487452264,468.92096542368745,473.8972459728523,478.37605369822006,483.38127508813375,634.2820331261889
2663474,ENKF,651.0050827196427,6.060588185733267,12,2020-12-14,2021-01-02,3-step_ahead,12113,1110.0,639.1265481504765,643.2381264420951,646.9172781082061,651.0050827196427,655.0928873310793,658.7720389971903,662.8836172888089,453.4114672322247
2663475,ENKF,746.6183450189383,3.571610177040049,12,2020-12-21,2021-01-02,2-step_ahead,12113,1110.0,739.618117705123,742.0411424050377,744.2093305628287,746.6183450189383,749.0273594750478,751.1955476328391,753.6185723327535,360.09123061897606
2663476,ENKF,750.4679345857694,1.7909115883088975,12,2020-12-28,2021-01-02,1-step_ahead,12113,1110.0,746.9578123731885,748.1727890360202,749.2599830759476,750.4679345857694,751.6758860955913,752.7630801355186,753.9780567983502,357.8821487580414
2663477,lstm,601.64505859375,95.36642992890232,12,2020-12-07,2021-01-02,4-step_ahead,12113,1110.0,414.7302905989389,479.4280610179658,537.3213790939127,601.64505859375,665.9687380935875,723.8620561695343,788.5598265885612,420.4965221475023
2663478,lstm,654.918081665039,127.92472042896158,12,2020-12-14,2021-01-02,4-step_ahead,12113,1110.0,404.1902368919191,490.97595592744796,568.6341689390051,654.918081665039,741.201994391073,818.8602074026303,905.645926438159,337.2284584813741
