,method,fct_mean,fct_std,location,forecast_date,target_end_date,target,FIPS,cases,q_0.025,q_0.1,q_0.25,q_0.5,q_0.75,q_0.9,q_0.975,wis
1135344,AR,1271.641328896991,93.2687700033997,36,2021-05-10,2021-05-29,3-step_ahead,36055,638.0,1088.8378988079778,1152.1125906827147,1208.7324995163021,1271.641328896991,1334.5501582776794,1391.1700671112674,1454.444758986004,547.7154249408973
1135345,AR,1532.8900795233953,183.67491217072026,36,2021-05-03,2021-05-29,4-step_ahead,36055,638.0,1172.893866805226,1297.5012082797418,1409.0032338960789,1532.8900795233953,1656.7769251507113,1768.2789507670486,1892.8862922415647,725.6755304117261
1135346,ARIMA,895.4674492792465,126.39714958301808,36,2021-05-17,2021-05-29,2-step_ahead,36055,638.0,647.7335883480091,733.4829843507547,810.2138674314998,895.4674492792465,980.7210311269932,1057.4519142077384,1143.2013102104836,141.02129763600584
1135347,ARIMA,1559.319013098047,724.5334426880826,36,2021-05-03,2021-05-29,4-step_ahead,36055,638.0,139.2595598345897,630.7920453317158,1070.6286323306551,1559.319013098047,2048.009393865439,2487.8459808643784,2979.378466361505,398.3833415656611
1135348,ARIMA,1269.761551373228,457.53966990237154,36,2021-05-10,2021-05-29,3-step_ahead,36055,638.0,373.0002768662349,683.4008711110841,961.1557337159796,1269.761551373228,1578.3673690304763,1856.122231635372,2166.5228258802213,285.95728260573725
1135349,ARIMA,736.5303632354647,64.57588549215752,36,2021-05-24,2021-05-29,1-step_ahead,36055,638.0,609.9639534010535,653.7730360865613,692.9745903611688,736.5303632354647,780.0861361097608,819.287690384368,863.0967730698759,47.04870869260335
1135350,PatchSim_adpt,1062.0,80.10204081632655,36,2021-05-24,2021-05-29,1-step_ahead,36055,638.0,905.0028849118428,959.3451041885193,1007.9719944995996,1062.0,1116.0280055004005,1164.6548958114806,1218.9971150881574,350.20423464767595
1135351,PatchSim_adpt,928.0,136.22448979591834,36,2021-05-17,2021-05-29,2-step_ahead,36055,638.0,661.0049061876557,753.4212918365264,836.1179779069623,928.0,1019.8820220930376,1102.5787081634737,1194.995093812344,164.50019522885006
1135352,PatchSim_adpt,721.0,174.37500000000009,36,2021-05-10,2021-05-29,3-step_ahead,36055,638.0,379.231280195828,497.5294457581602,603.3858498095583,721.0,838.6141501904417,944.4705542418401,1062.7687198041722,46.31132055251357
1135353,PatchSim_adpt,648.0,311.42857142857173,36,2021-05-03,2021-05-29,4-step_ahead,36055,638.0,37.61121624323971,248.8882267303955,437.94462065322006,648.0,858.0553793467799,1047.1117732696046,1258.3887837567606,62.96270957575682
1135354,ENKF,1608.01208279602,6.8626473445997584,36,2021-05-03,2021-05-29,4-step_ahead,36055,638.0,1594.561541162005,1599.2172463477677,1603.383297502877,1608.01208279602,1612.640868089163,1616.8069192442722,1621.462624430035,963.689718122452
1135355,ENKF,1441.6731712207404,5.255196865284118,36,2021-05-10,2021-05-29,3-step_ahead,36055,638.0,1431.3731746331155,1434.9383654507903,1438.1285947998438,1441.6731712207404,1445.217747641637,1448.4079769906907,1451.9731678083651,798.8317056251254
1135356,ENKF,1420.0772099994795,3.667682663346608,36,2021-05-17,2021-05-29,2-step_ahead,36055,638.0,1412.8886840725986,1415.3768855403464,1417.6033956360802,1420.0772099994795,1422.5510243628787,1424.777534458612,1427.2657359263608,778.6982767481815
1135357,ENKF,1310.9964758680146,1.9554917315076168,36,2021-05-24,2021-05-29,1-step_ahead,36055,638.0,1307.1637825021935,1308.4904123780914,1309.6775167385194,1310.9964758680146,1312.3154349975098,1313.5025393579374,1314.8291692338355,671.1949361382385
1135358,lstm,1453.0386767578125,310.4504688025203,36,2021-05-03,2021-05-29,4-step_ahead,36055,638.0,844.5669389212973,1055.1803924398878,1243.6430176069439,1453.0386767578125,1662.4343359086804,1850.8969610757374,2061.510414594328,529.02936019368
1135359,lstm,1521.7156091308593,274.99973913576804,36,2021-05-10,2021-05-29,3-step_ahead,36055,638.0,982.7260246668441,1169.2892629170594,1336.2311037771874,1521.7156091308593,1707.2001144845312,1874.1419553446594,2060.705193594875,630.3660563055195
